symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2020-11-12 00:00:00+00:00,1749.84,1768.27,1745.6,1747.63,1248754,1749.84,1768.27,1745.6,1747.63,1248754,0,1
GOOG,2020-11-13 00:00:00+00:00,1777.02,1781.04,1744.55,1757.63,1500574,1777.02,1781.04,1744.55,1757.63,1500574,0,1
GOOG,2020-11-16 00:00:00+00:00,1781.38,1799.07,1767.69,1771.7,1246785,1781.38,1799.07,1767.69,1771.7,1246785,0,1
GOOG,2020-11-17 00:00:00+00:00,1770.15,1785,1767,1776.94,1147114,1770.15,1785,1767,1776.94,1147114,0,1
GOOG,2020-11-18 00:00:00+00:00,1746.78,1773.47,1746.14,1765.23,1173466,1746.78,1773.47,1746.14,1765.23,1173466,0,1
GOOG,2020-11-19 00:00:00+00:00,1763.92,1769.5897,1737.005,1738.38,1249910,1763.92,1769.5897,1737.005,1738.38,1249910,0,1
GOOG,2020-11-20 00:00:00+00:00,1742.19,1774,1741.86,1765.21,2313655,1742.19,1774,1741.86,1765.21,2313655,0,1
GOOG,2020-11-23 00:00:00+00:00,1734.86,1753.9,1717.72,1749.6,2161975,1734.86,1753.9,1717.72,1749.6,2161975,0,1
GOOG,2020-11-24 00:00:00+00:00,1768.88,1771.6,1727.69,1730.5,1491698,1768.88,1771.6,1727.69,1730.5,1491698,0,1
GOOG,2020-11-25 00:00:00+00:00,1771.43,1778.54,1756.54,1772.89,1046122,1771.43,1778.54,1756.54,1772.89,1046122,0,1
GOOG,2020-11-27 00:00:00+00:00,1793.19,1804,1772.44,1773.09,884916,1793.19,1804,1772.44,1773.09,884916,0,1
GOOG,2020-11-30 00:00:00+00:00,1760.74,1788.065,1755,1781.1844,1823836,1760.74,1788.065,1755,1781.1844,1823836,0,1
GOOG,2020-12-01 00:00:00+00:00,1798.1,1824.83,1769.37,1774.37,1693593,1798.1,1824.83,1769.37,1774.37,1693593,0,1
GOOG,2020-12-02 00:00:00+00:00,1827.95,1835.65,1789.4725,1798.1,1222032,1827.95,1835.65,1789.4725,1798.1,1222032,0,1
GOOG,2020-12-03 00:00:00+00:00,1826.77,1847.2,1822.65,1824.01,1227298,1826.77,1847.2,1822.65,1824.01,1227298,0,1
GOOG,2020-12-04 00:00:00+00:00,1827.99,1833.16,1816.99,1824.52,1378166,1827.99,1833.16,1816.99,1824.52,1378166,0,1
GOOG,2020-12-07 00:00:00+00:00,1819.48,1832.37,1805.78,1819,1320946,1819.48,1832.37,1805.78,1819,1320946,0,1
GOOG,2020-12-08 00:00:00+00:00,1818.55,1821.9,1796.2047,1810.1,1096319,1818.55,1821.9,1796.2047,1810.1,1096319,0,1
GOOG,2020-12-09 00:00:00+00:00,1784.13,1834.27,1767.81,1812.01,1507558,1784.13,1834.27,1767.81,1812.01,1507558,0,1
GOOG,2020-12-10 00:00:00+00:00,1775.33,1781.31,1740.32,1769.8,1362848,1775.33,1781.31,1740.32,1769.8,1362848,0,1
GOOG,2020-12-11 00:00:00+00:00,1781.77,1784.45,1760,1763.06,1220651,1781.77,1784.45,1760,1763.06,1220651,0,1
GOOG,2020-12-14 00:00:00+00:00,1760.06,1797.39,1757.215,1775,1600173,1760.06,1797.39,1757.215,1775,1600173,0,1
GOOG,2020-12-15 00:00:00+00:00,1767.77,1771.42,1749.95,1764.42,1482261,1767.77,1771.42,1749.95,1764.42,1482261,0,1
GOOG,2020-12-16 00:00:00+00:00,1763,1773,1756.08,1772.88,1513543,1763,1773,1756.08,1772.88,1513543,0,1
GOOG,2020-12-17 00:00:00+00:00,1747.9,1771.7836,1738.66,1768.51,1624744,1747.9,1771.7836,1738.66,1768.51,1624744,0,1
GOOG,2020-12-18 00:00:00+00:00,1731.01,1755.11,1720.22,1754.18,4016353,1731.01,1755.11,1720.22,1754.18,4016353,0,1
GOOG,2020-12-21 00:00:00+00:00,1739.37,1740.85,1699,1713.51,1828378,1739.37,1740.85,1699,1713.51,1828378,0,1
GOOG,2020-12-22 00:00:00+00:00,1723.5,1737.405,1712.575,1734.43,938346,1723.5,1737.405,1712.575,1734.43,938346,0,1
GOOG,2020-12-23 00:00:00+00:00,1732.38,1747.99,1725.04,1728.11,1033917,1732.38,1747.99,1725.04,1728.11,1033917,0,1
GOOG,2020-12-24 00:00:00+00:00,1738.85,1746,1729.11,1735,346753,1738.85,1746,1729.11,1735,346753,0,1
GOOG,2020-12-28 00:00:00+00:00,1776.09,1790.7276,1746.335,1751.635,1390962,1776.09,1790.7276,1746.335,1751.635,1390962,0,1
GOOG,2020-12-29 00:00:00+00:00,1758.72,1792.44,1756.09,1787.79,1299395,1758.72,1792.44,1756.09,1787.79,1299395,0,1
GOOG,2020-12-30 00:00:00+00:00,1739.52,1765.095,1725.6,1762.01,1306130,1739.52,1765.095,1725.6,1762.01,1306130,0,1
GOOG,2020-12-31 00:00:00+00:00,1751.88,1758.93,1735.42,1735.42,1012240,1751.88,1758.93,1735.42,1735.42,1012240,0,1
GOOG,2021-01-04 00:00:00+00:00,1728.24,1760.65,1707.85,1757.54,1901855,1728.24,1760.65,1707.85,1757.54,1901855,0,1
GOOG,2021-01-05 00:00:00+00:00,1740.92,1747.67,1718.015,1725,1145347,1740.92,1747.67,1718.015,1725,1145347,0,1
GOOG,2021-01-06 00:00:00+00:00,1735.29,1748,1699,1702.63,2602114,1735.29,1748,1699,1702.63,2602114,0,1
GOOG,2021-01-07 00:00:00+00:00,1787.25,1788.4,1737.05,1740.06,2265022,1787.25,1788.4,1737.05,1740.06,2265022,0,1
GOOG,2021-01-08 00:00:00+00:00,1807.21,1809.84,1773.535,1787.98,2051002,1807.21,1809.84,1773.535,1787.98,2051002,0,1
GOOG,2021-01-11 00:00:00+00:00,1766.72,1794.315,1760.5201,1786.07,1209735,1766.72,1794.315,1760.5201,1786.07,1209735,0,1
GOOG,2021-01-12 00:00:00+00:00,1746.55,1778.04,1725.31,1753.92,1356464,1746.55,1778.04,1725.31,1753.92,1356464,0,1
